date,year,prices,market_caps,total_volumes,v_porcentual_d
2017-10-18,2017,0.0268,696021404.3079604,2351678.122306208,0.0
2017-10-19,2017,0.0268,695622018.2559936,2815155.9695999967,0.0
2017-10-20,2017,0.0303,785580027.6424098,8883473.082062634,13.0597014925373
2017-10-21,2017,0.0286,741202123.8797704,5308856.917095766,-5.610561056105611
2017-10-22,2017,0.027800000000000002,720669848.4724126,2901876.1220860113,-2.7972027972027913
2017-10-23,2017,0.026000000000000002,675273816.053428,3505126.543112243,-6.474820143884886
2017-10-24,2017,0.0274,710852942.3615782,7822397.543947947,5.384615384615388
2017-10-25,2017,0.0273,707013105.4597949,2513886.637623913,-0.36496350364962904
2017-10-26,2017,0.026600000000000002,689437113.7144977,2369400.241402218,-2.564102564102566
2017-10-27,2017,0.026500000000000003,687316826.4044167,2569633.7793355323,-0.3759398496240629
2017-10-28,2017,0.026000000000000002,673492286.1223357,1729975.2725138243,-1.8867924528301883
2017-10-29,2017,0.0284,735085222.7844126,4636164.255564146,9.23076923076922
2017-10-30,2017,0.0284,735950462.4388821,3794753.02010408,0.0
2017-10-31,2017,0.0303,784322281.6027644,7251416.950220154,6.690140845070425
2017-11-01,2017,0.023100000000000002,598812560.9812648,7901021.254424323,-23.76237623762375
2017-11-02,2017,0.0213,552780115.686688,5955251.345757528,-7.792207792207806
2017-11-03,2017,0.0228,590863052.9170463,3029089.7359041288,7.042253521126773
2017-11-04,2017,0.0218,565264037.9883977,2455852.8375674905,-4.385964912280704
2017-11-05,2017,0.022,571077843.8126849,2245833.516085977,0.917431192660545
2017-11-06,2017,0.0223,578266095.092228,4843621.340865689,1.3636363636363669
2017-11-07,2017,0.0223,577877214.2109797,2527154.86620952,0.0
2017-11-08,2017,0.0251,651971147.3307619,6534368.134450486,12.556053811659185
2017-11-09,2017,0.0328,849617009.7707922,20628139.78678138,30.677290836653405
2017-11-10,2017,0.0273,707628644.4042084,6563683.784283738,-16.768292682926834
2017-11-11,2017,0.0275,712956034.570149,5632137.891194862,0.73260073260073
2017-11-12,2017,0.0245,635774572.7517922,7550744.664248699,-10.909090909090901
2017-11-13,2017,0.0251,651139900.5067863,4284485.972081597,2.448979591836742
2017-11-14,2017,0.0262,680023121.191746,3183479.97319462,4.3824701195219085
2017-11-15,2017,0.026000000000000002,674481157.867525,6362414.67189926,-0.7633587786259444
2017-11-16,2017,0.027100000000000003,702786226.652537,4825255.352786,4.230769230769238
2017-11-17,2017,0.025900000000000003,671945487.478645,3514321.2781959,-4.4280442804427995
2017-11-18,2017,0.026500000000000003,687786073.938608,2984199.94886132,2.316602316602312
2017-11-19,2017,0.027700000000000002,718729791.325827,4652800.37716365,4.528301886792452
2017-11-20,2017,0.03,777883050.122379,15546079.3945352,8.303249097472909
2017-11-21,2017,0.0286,741467951.324501,5910630.57601447,-4.666666666666663
2017-11-22,2017,0.0287,744924903.206561,4912298.82371421,0.34965034965035446
2017-11-23,2017,0.0279,724419632.811637,5222693.56006724,-2.7874564459930307
2017-11-24,2017,0.0285,739231013.334716,5653201.55570934,2.1505376344086002
2017-11-25,2017,0.030600000000000002,793751757.583795,6199363.76514505,7.36842105263158
2017-11-26,2017,0.0385,999433438.691236,30963775.9962897,25.816993464052285
2017-11-27,2017,0.0505,1308514307.56615,81568060.7251049,31.16883116883118
2017-11-28,2017,0.1207,3130063311.79723,341785540.016436,139.009900990099
2017-11-29,2017,0.0926,2401776731.97084,170782434.03361,-23.280861640430818
2017-11-30,2017,0.1241,3216634513.08707,123583686.659491,34.01727861771058
2017-12-01,2017,0.1308,3392534112.11863,54354032.9357827,5.39887187751813
2017-12-02,2017,0.1353,3507674559.84146,42520482.6866604,3.4403669724770714
2017-12-03,2017,0.13190000000000002,3420520703.41699,33634685.3082435,-2.512934220251284
2017-12-04,2017,0.1363,3534332361.0504,73582496.3415025,3.335860500379062
2017-12-05,2017,0.1313,3403344673.62041,50109378.7410912,-3.668378576669118
2017-12-06,2017,0.129,3344540395.15708,71389916.560964,-1.7517136329017524
2017-12-07,2017,0.1135,2942716690.04155,63143994.7068038,-12.015503875968992
2017-12-08,2017,0.1198,3105314029.77127,72541326.961392,5.550660792951545
2017-12-09,2017,0.1221,3164909210.30234,63562094.4422698,1.919866444073448
2017-12-10,2017,0.11080000000000001,2871505505.06286,44638620.0146595,-9.254709254709248
2017-12-11,2017,0.1202,3115612115.86568,39074223.8449904,8.483754512635366
2017-12-12,2017,0.1336,3463179987.1099,62282284.1916909,11.148086522462552
2017-12-13,2017,0.13440000000000002,3483989039.4741,62897525.7246977,0.5988023952095967
2017-12-14,2017,0.217,5626468819.76509,237044480.930081,61.4583333333333
2017-12-15,2017,0.21760000000000002,5642622686.12803,213587305.957,0.27649769585254
2017-12-16,2017,0.4082,10583545519.8641,669971136.228786,87.59191176470587
2017-12-17,2017,0.4756,12330642063.9879,590821285.865066,16.511513963743262
2017-12-18,2017,0.5069,13142298925.0217,227825786.869163,6.581160639192607
2017-12-19,2017,0.5478000000000001,14203659365.4663,275998423.608346,8.068652594200042
2017-12-20,2017,0.4923,12763812409.1896,184667810.643851,-10.131434830230024
2017-12-21,2017,0.4979,12909971958.0506,168394697.068554,1.137517773715202
2017-12-22,2017,0.4146,10749807285.5968,152919286.608756,-16.730267121912025
2017-12-23,2017,0.4364,11313893784.0892,90412317.6401021,5.258080077182825
2017-12-24,2017,0.4066,10543065492.8002,69345060.1550332,-6.828597616865261
2017-12-25,2017,0.4247,11010303256.014,125437694.646658,4.451549434333502
2017-12-26,2017,0.44980000000000003,11660878365.3454,97612771.3899792,5.910054155874733
2017-12-27,2017,0.43060000000000004,11163150600.8902,84684312.3121579,-4.268563806136061
2017-12-28,2017,0.4295,11135816855.0912,86905712.0561081,-0.2554575011611826
2017-12-29,2017,0.5453,14138266037.1358,288839195.142621,26.961583236321317
