date,year,prices,market_caps,total_volumes,v_porcentual_d
2017-08-02,2017,767.768,12654481806.518078,231360443.3509356,0.0
2017-08-03,2017,398.844,6573979052.539925,148043188.81589764,-48.051494722364055
2017-08-04,2017,234.619,3867188496.2214146,129286772.13680378,-41.17524646227597
2017-08-05,2017,206.843,3409399309.9336257,109385365.43048887,-11.83876838619209
2017-08-06,2017,216.019,3560824836.180709,92691417.6708735,4.4362149069584245
2017-08-07,2017,320.195,5278350068.110706,319017808.1905406,48.225387581647894
2017-08-08,2017,341.141,5623732615.99977,211633027.43188226,6.541638688923945
2017-08-09,2017,300.407,4952575665.0308485,117221147.1620099,-11.940517264122475
2017-08-10,2017,271.544,4477074306.528819,103486360.7543854,-9.607965193886958
2017-08-11,2017,322.8,5322439751.701017,142762439.98956248,18.875762307397714
2017-08-12,2017,310.326,5117036552.570223,77269567.83485049,-3.8643122676579877
2017-08-13,2017,294.33,4853571623.935709,80783268.36365172,-5.154579377815605
2017-08-14,2017,292.779,4828317865.294435,99011898.57287894,-0.5269595352155654
2017-08-15,2017,296.644,4892470137.130338,88980498.90058564,1.3201083411036985
2017-08-16,2017,294.703,4860778333.779183,127151045.12686205,-0.6543196558838282
2017-08-17,2017,294.3,4854137551.541214,126733242.38301636,-0.13674784443998833
2017-08-18,2017,705.794,11642388159.017105,4025130233.3901296,139.8212708120965
2017-08-19,2017,669.182,11039503719.628674,3240953603.4693704,-5.187349283218612
2017-08-20,2017,699.02,11535700999.810257,1455181004.9395466,4.458876658367972
2017-08-21,2017,595.5,9833093948.677462,997002616.7160876,-14.809304454808158
2017-08-22,2017,685.192,11321502607.221313,1217429102.275877,15.061628883291345
2017-08-23,2017,663.779,10967877732.17864,443959065.1745203,-3.1251094583707895
2017-08-24,2017,614.608,10159675683.733953,344322849.3767675,-7.407736611131122
2017-08-25,2017,630.673,10430701408.355114,304811919.53158116,2.613861192825362
2017-08-26,2017,609.583,10087006184.90528,165645113.90093786,-3.3440467564014975
2017-08-27,2017,610.221,10098004519.262531,351355526.3519223,0.10466171136662705
2017-08-28,2017,584.51,9673792053.509113,188148435.65896896,-4.213391541752909
2017-08-29,2017,539.281,8926193592.769724,311256696.31116486,-7.737934338163599
2017-08-30,2017,570.262,9439605114.402117,392862243.8410211,5.744871412120944
2017-08-31,2017,585.398,9690790658.361256,263696226.01878625,2.6542185872458823
2017-09-01,2017,618.521,10240004577.224575,346868575.18345016,5.658201770419424
2017-09-02,2017,571.014,9454433086.13051,273017295.4597163,-7.680741640138322
2017-09-03,2017,606.986,10051066163.778517,293799318.3199267,6.299670410883085
2017-09-04,2017,526.339,8716452049.832111,265214287.9995794,-13.286467892175423
2017-09-05,2017,551.142,9127992584.006477,271268929.34452486,4.712362184827645
