date,year,prices,market_caps,total_volumes,v_porcentual_d,MM65
2021-01-05,2021,1.7509000000000001,5193325.774885025,12582828.723461315,0.0,0.0
2021-01-06,2021,1.7509000000000001,5193325.774885025,12582828.723461315,0.0,0.0
2021-01-07,2021,1.7604000000000002,5667691.609360571,6423586.093912635,0.54257810269005,0.0
2021-01-08,2021,1.4268,4586996.157827637,2079384.121384696,-18.950238582140432,0.0
2021-01-09,2021,1.4954,4803312.257938731,1086874.8490877978,4.807961872722166,0.0
2021-01-10,2021,0.845,2728719.816341152,1119290.0976459014,-43.49337969773974,0.0
2021-01-11,2021,0.9955,3216775.302110387,566395.6703483281,17.810650887573964,0.0
2021-01-12,2021,0.8932,2865817.823184506,159321.0071216152,-10.276243093922655,0.0
2021-01-13,2021,0.8302,2659361.2625465486,161473.64724186447,-7.053291536050155,0.0
2021-01-14,2021,1.0554000000000001,3367904.432519941,313532.6102690141,27.12599373644906,0.0
2021-01-15,2021,1.0769,3418068.7848715847,596906.0317340387,2.0371423157096613,0.0
2021-01-16,2021,0.9535,3061676.4003600613,128644.3747470737,-11.458816974649455,0.0
2021-01-17,2021,0.8835000000000001,2855813.41881406,172983.08504657654,-7.341373885684311,0.0
2021-01-18,2021,0.7758,6889235.632986919,145481.87613947096,-12.190152801358234,0.0
2021-01-19,2021,0.7911,6954148.213200837,307001.0958724403,1.9721577726218076,0.0
2021-01-20,2021,0.8712000000000001,7679713.0220706,206887.86212155572,10.125142207053472,0.0
2021-01-21,2021,0.7817000000000001,6914900.994510031,171677.64718389115,-10.27318640955005,0.0
2021-01-22,2021,0.6131,5492554.314058194,142237.16586283132,-21.568376615069727,0.0
2021-01-23,2021,0.6334000000000001,5591096.061756206,134417.25562757792,3.3110422443320964,0.0
2021-01-24,2021,0.7742,6848073.871231097,895644.9456444817,22.229239027470783,0.0
2021-01-25,2021,1.3753,12162866.209006058,3032187.2670182474,77.64143632136398,0.0
2021-01-26,2021,1.0524,9344765.823503695,401782.5704384214,-23.478513778811894,0.0
2021-01-27,2021,1.8837000000000002,16672800.302340701,5832696.37363441,78.99087799315852,0.0
2021-01-28,2021,1.5461,13629666.736110166,339189.3536282685,-17.922174443913576,0.0
2021-01-29,2021,1.383,12315638.104627768,1001428.6648648651,-10.549123601319454,0.0
2021-01-30,2021,1.4299,12688985.860507652,524309.992507723,3.3911785972523534,0.0
2021-01-31,2021,1.3856,12274278.534617355,480699.6823854356,-3.098118749562906,0.0
2021-02-01,2021,1.9588,17579716.31118049,2285058.9020807557,41.36836027713626,0.0
2021-02-02,2021,2.9688,26355834.941170327,4963666.324185459,51.56218092709821,0.0
2021-02-03,2021,2.8523,25648561.900813278,4380157.478139101,-3.924144435462129,0.0
2021-02-04,2021,3.0767,27257705.691575833,2466434.734418689,7.867335133050535,0.0
2021-02-05,2021,2.6338,24113035.00269735,2262744.8747225855,-14.395293658790276,0.0
