date,year,prices,market_caps,total_volumes,v_porcentual_d
2020-04-11,2020,0.9576,7827651.892659198,92672667.43447028,0.0
2020-04-12,2020,0.7847000000000001,6173607.678345317,49458692.875223994,-18.055555555555546
2020-04-13,2020,0.876,7269680.447445141,37821009.955602355,11.635019752771747
2020-04-14,2020,0.7867000000000001,6302364.150584625,19579214.89293177,-10.194063926940633
2020-04-15,2020,0.6667000000000001,5306221.06575891,17523533.049867075,-15.253590949536033
2020-04-16,2020,0.6376000000000001,5114653.932636794,12659541.408408837,-4.364781760911951
2020-04-17,2020,0.6923,5505929.486978686,23132895.9095158,8.57904642409033
2020-04-18,2020,0.6574,5348323.975349362,10227034.752456626,-5.04116712407916
2020-04-19,2020,0.677,5423066.285864263,10199318.163159857,2.981442044417415
2020-04-20,2020,0.6094,4844617.211182358,9789186.730548004,-9.985228951255543
2020-04-21,2020,0.5348,4285479.154681022,8763891.031037511,-12.241549064653757
2020-04-22,2020,0.5728,4591546.761226098,9610841.993019182,7.105459985041129
2020-04-23,2020,0.6849000000000001,5446538.173850838,18146790.14448149,19.570530726257008
2020-04-24,2020,0.6217,4909586.999036558,13659849.485801896,-9.22762447072566
2020-04-25,2020,0.6228,5027193.620409137,8959427.13964603,0.17693421264275422
2020-04-26,2020,0.6471,5173619.233465031,7324961.274114759,3.9017341040462394
2020-04-27,2020,0.6399,5137791.330825961,8493459.048447348,-1.112656467315709
2020-04-28,2020,0.5683,4616001.375155629,7534010.521157354,-11.189248320050005
2020-04-29,2020,0.6574,5283691.351331575,7387289.032147021,15.67833890550765
2020-04-30,2020,0.7412000000000001,5897415.537215416,8964597.270530097,12.747185883784628
2020-05-01,2020,0.6931,5635423.505964131,5182978.537733341,-6.4894765245547825
2020-05-02,2020,0.717,5735879.899599453,4174109.6429038513,3.44827586206895
2020-05-03,2020,0.7124,5669404.169981707,3457574.5570013877,-0.6415620641561981
2020-05-04,2020,0.6866,5486412.385664286,3375393.730010124,-3.621560920831002
2020-05-05,2020,0.6728000000000001,5354861.583908894,3467483.256730908,-2.009903874162533
2020-05-06,2020,0.6503,5195811.6286706,2903980.8568524625,-3.344233055885859
2020-05-07,2020,0.6194000000000001,5010066.054780242,2715223.2877061805,-4.751653083192364
2020-05-08,2020,0.6089,4874818.721855924,3385522.0174709754,-1.6951888924765957
2020-05-09,2020,0.6089,4827334.908169065,2493703.55942783,0.0
2020-05-10,2020,0.6018,4816707.909418276,2126230.1519960337,-1.1660371161110183
